Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
01/11/2017 00:00,CENTRAL EAST - VC,23330,1933.2,2210,-9999
01/11/2017 00:00,DYSINGER EAST,23326,1121.61,3150,-9999
01/11/2017 00:00,MOSES SOUTH,23319,1635.74,3000,-1600
01/11/2017 00:00,SCH - HQ - NY,23324,1250,1450,-1000
01/11/2017 00:00,SCH - HQ_CEDARS,325274,100,180,-100
01/11/2017 00:00,SCH - HQ_IMPORT_EXPORT,325376,946,1310,-9999
01/11/2017 00:00,SCH - NE - NY,23318,-861.96,1400,-1600
01/11/2017 00:00,SCH - NPX_1385,325277,-9,200,-200
01/11/2017 00:00,SCH - NPX_CSC,325154,50,330,-330
01/11/2017 00:00,SCH - OH - NY,23317,1237.98,1750,-1900
01/11/2017 00:00,SCH - PJ - NY,23316,481.07,2200,-1450
01/11/2017 00:00,SCH - PJM_HTP,325905,0,0,0
01/11/2017 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
01/11/2017 00:00,SCH - PJM_VFT,325658,270,315,-315
01/11/2017 00:00,SPR/DUN-SOUTH,23320,1304.73,4600,-9999
01/11/2017 00:00,TOTAL EAST,23314,3660.54,6500,-9999
01/11/2017 00:00,UPNY CONED,23315,591.52,5100,-9999
01/11/2017 00:00,WEST CENTRAL,23312,684.55,9999,-9999
01/11/2017 00:10,CENTRAL EAST - VC,23330,1963.25,2120,-9999
01/11/2017 00:10,DYSINGER EAST,23326,1357.2,3150,-9999
01/11/2017 00:10,MOSES SOUTH,23319,1496.86,3000,-1600
01/11/2017 00:10,SCH - HQ - NY,23324,1118,1450,-1000
01/11/2017 00:10,SCH - HQ_CEDARS,325274,100,180,-100
01/11/2017 00:10,SCH - HQ_IMPORT_EXPORT,325376,814,1310,-9999
01/11/2017 00:10,SCH - NE - NY,23318,-762.04,1400,-1600
01/11/2017 00:10,SCH - NPX_1385,325277,0,200,-200
01/11/2017 00:10,SCH - NPX_CSC,325154,0,330,-330
01/11/2017 00:10,SCH - OH - NY,23317,1240.23,1750,-1900
01/11/2017 00:10,SCH - PJ - NY,23316,334.31,2200,-1450
01/11/2017 00:10,SCH - PJM_HTP,325905,0,0,0
01/11/2017 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
01/11/2017 00:10,SCH - PJM_VFT,325658,315,315,-315
01/11/2017 00:10,SPR/DUN-SOUTH,23320,1479.76,4600,-9999
01/11/2017 00:10,TOTAL EAST,23314,3792.59,6500,-9999
01/11/2017 00:10,UPNY CONED,23315,803.87,5100,-9999
01/11/2017 00:10,WEST CENTRAL,23312,922.43,9999,-9999
01/11/2017 00:13,CENTRAL EAST - VC,23330,1958.83,2120,-9999
01/11/2017 00:13,DYSINGER EAST,23326,1148.59,3150,-9999
01/11/2017 00:13,MOSES SOUTH,23319,1594.76,3000,-1600
01/11/2017 00:13,SCH - HQ - NY,23324,1118,1450,-1000
01/11/2017 00:13,SCH - HQ_CEDARS,325274,100,180,-100
01/11/2017 00:13,SCH - HQ_IMPORT_EXPORT,325376,814,1310,-9999
01/11/2017 00:13,SCH - NE - NY,23318,-791.99,1400,-1600
01/11/2017 00:13,SCH - NPX_1385,325277,0,200,-200
01/11/2017 00:13,SCH - NPX_CSC,325154,0,330,-330
01/11/2017 00:13,SCH - OH - NY,23317,1240.88,1750,-1900
01/11/2017 00:13,SCH - PJ - NY,23316,334.59,2200,-1450
01/11/2017 00:13,SCH - PJM_HTP,325905,0,0,0
01/11/2017 00:13,SCH - PJM_NEPTUNE,325305,660,660,-660
01/11/2017 00:13,SCH - PJM_VFT,325658,315,315,-315
01/11/2017 00:13,SPR/DUN-SOUTH,23320,1385.76,4600,-9999
01/11/2017 00:13,TOTAL EAST,23314,3794.72,6500,-9999
01/11/2017 00:13,UPNY CONED,23315,745.35,5100,-9999
01/11/2017 00:13,WEST CENTRAL,23312,737.72,9999,-9999
01/11/2017 00:14,CENTRAL EAST - VC,23330,1993.95,2120,-9999
01/11/2017 00:14,DYSINGER EAST,23326,1193.71,3150,-9999
01/11/2017 00:14,MOSES SOUTH,23319,1595.22,3000,-1600
01/11/2017 00:14,SCH - HQ - NY,23324,1118,1450,-1000
01/11/2017 00:14,SCH - HQ_CEDARS,325274,100,180,-100
01/11/2017 00:14,SCH - HQ_IMPORT_EXPORT,325376,814,1310,-9999
01/11/2017 00:14,SCH - NE - NY,23318,-802.99,1400,-1600
01/11/2017 00:14,SCH - NPX_1385,325277,0,200,-200
01/11/2017 00:14,SCH - NPX_CSC,325154,0,330,-330
01/11/2017 00:14,SCH - OH - NY,23317,1240.85,1750,-1900
01/11/2017 00:14,SCH - PJ - NY,23316,335.1,2200,-1450
01/11/2017 00:14,SCH - PJM_HTP,325905,0,0,0
01/11/2017 00:14,SCH - PJM_NEPTUNE,325305,660,660,-660
01/11/2017 00:14,SCH - PJM_VFT,325658,315,315,-315
01/11/2017 00:14,SPR/DUN-SOUTH,23320,1434.24,4600,-9999
01/11/2017 00:14,TOTAL EAST,23314,3820.47,6500,-9999
01/11/2017 00:14,UPNY CONED,23315,784.94,5100,-9999
01/11/2017 00:14,WEST CENTRAL,23312,782.37,9999,-9999
01/11/2017 00:15,CENTRAL EAST - VC,23330,2018.14,2120,-9999
01/11/2017 00:15,DYSINGER EAST,23326,1452.2,3150,-9999
01/11/2017 00:15,MOSES SOUTH,23319,1434.58,3000,-1600
01/11/2017 00:15,SCH - HQ - NY,23324,1118,1450,-1000
01/11/2017 00:15,SCH - HQ_CEDARS,325274,100,180,-100
01/11/2017 00:15,SCH - HQ_IMPORT_EXPORT,325376,814,1310,-9999
01/11/2017 00:15,SCH - NE - NY,23318,-812.7,1400,-1600
01/11/2017 00:15,SCH - NPX_1385,325277,0,200,-200
01/11/2017 00:15,SCH - NPX_CSC,325154,0,330,-330
01/11/2017 00:15,SCH - OH - NY,23317,1239.81,1750,-1900
01/11/2017 00:15,SCH - PJ - NY,23316,334.12,2200,-1450
01/11/2017 00:15,SCH - PJM_HTP,325905,0,0,0
01/11/2017 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
01/11/2017 00:15,SCH - PJM_VFT,325658,315,315,-315
01/11/2017 00:15,SPR/DUN-SOUTH,23320,1548.16,4600,-9999
01/11/2017 00:15,TOTAL EAST,23314,3827.89,6500,-9999
01/11/2017 00:15,UPNY CONED,23315,857.79,5100,-9999
01/11/2017 00:15,WEST CENTRAL,23312,1021.84,9999,-9999
01/11/2017 00:25,CENTRAL EAST - VC,23330,2018.28,2120,-9999
01/11/2017 00:25,DYSINGER EAST,23326,1237.44,3150,-9999
01/11/2017 00:25,MOSES SOUTH,23319,1572.84,3000,-1600
01/11/2017 00:25,SCH - HQ - NY,23324,1118,1450,-1000
01/11/2017 00:25,SCH - HQ_CEDARS,325274,100,180,-100
01/11/2017 00:25,SCH - HQ_IMPORT_EXPORT,325376,814,1310,-9999
01/11/2017 00:25,SCH - NE - NY,23318,-864.93,1400,-1600
01/11/2017 00:25,SCH - NPX_1385,325277,0,200,-200
01/11/2017 00:25,SCH - NPX_CSC,325154,0,330,-330
01/11/2017 00:25,SCH - OH - NY,23317,1240.99,1750,-1900
01/11/2017 00:25,SCH - PJ - NY,23316,336.11,2200,-1450
01/11/2017 00:25,SCH - PJM_HTP,325905,0,0,0
01/11/2017 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
01/11/2017 00:25,SCH - PJM_VFT,325658,315,315,-315
01/11/2017 00:25,SPR/DUN-SOUTH,23320,1432.93,4600,-9999
01/11/2017 00:25,TOTAL EAST,23314,3815.29,6500,-9999
01/11/2017 00:25,UPNY CONED,23315,799.46,5100,-9999
01/11/2017 00:25,WEST CENTRAL,23312,836.28,9999,-9999
01/11/2017 00:30,CENTRAL EAST - VC,23330,2018.43,2120,-9999
01/11/2017 00:30,DYSINGER EAST,23326,1195.92,3150,-9999
