Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
10/28/2016 00:00,CENTRAL EAST - VC,23330,1873.33,2160,-9999
10/28/2016 00:00,DYSINGER EAST,23326,222.99,3150,-9999
10/28/2016 00:00,MOSES SOUTH,23319,1933.04,2850,-1600
10/28/2016 00:00,SCH - HQ - NY,23324,1270,1270,-500
10/28/2016 00:00,SCH - HQ_CEDARS,325274,104,150,-40
10/28/2016 00:00,SCH - HQ_IMPORT_EXPORT,325376,966,1310,-9999
10/28/2016 00:00,SCH - NE - NY,23318,-346.7,950,-700
10/28/2016 00:00,SCH - NPX_1385,325277,0,0,0
10/28/2016 00:00,SCH - NPX_CSC,325154,57,330,-330
10/28/2016 00:00,SCH - OH - NY,23317,253.23,1750,-1600
10/28/2016 00:00,SCH - PJ - NY,23316,43.84,1700,-1300
10/28/2016 00:00,SCH - PJM_HTP,325905,0,660,-660
10/28/2016 00:00,SCH - PJM_NEPTUNE,325305,458,660,-660
10/28/2016 00:00,SCH - PJM_VFT,325658,265,315,-315
10/28/2016 00:00,SPR/DUN-SOUTH,23320,2077.57,4350,-9999
10/28/2016 00:00,TOTAL EAST,23314,3294.8,6500,-9999
10/28/2016 00:00,UPNY CONED,23315,1043.81,4850,-9999
10/28/2016 00:00,WEST CENTRAL,23312,-131.95,9999,-9999
10/28/2016 00:05,CENTRAL EAST - VC,23330,1982.28,2160,-9999
10/28/2016 00:05,DYSINGER EAST,23326,391.33,3150,-9999
10/28/2016 00:05,MOSES SOUTH,23319,1910.66,2850,-1600
10/28/2016 00:05,SCH - HQ - NY,23324,1270,1270,-500
10/28/2016 00:05,SCH - HQ_CEDARS,325274,69,150,-40
10/28/2016 00:05,SCH - HQ_IMPORT_EXPORT,325376,966,1310,-9999
10/28/2016 00:05,SCH - NE - NY,23318,-334.71,950,-700
10/28/2016 00:05,SCH - NPX_1385,325277,0,0,0
10/28/2016 00:05,SCH - NPX_CSC,325154,115,330,-330
10/28/2016 00:05,SCH - OH - NY,23317,206.33,1750,-1600
10/28/2016 00:05,SCH - PJ - NY,23316,88.86,1700,-1300
10/28/2016 00:05,SCH - PJM_HTP,325905,0,660,-660
10/28/2016 00:05,SCH - PJM_NEPTUNE,325305,330,660,-660
10/28/2016 00:05,SCH - PJM_VFT,325658,265,315,-315
10/28/2016 00:05,SPR/DUN-SOUTH,23320,2112.08,4350,-9999
10/28/2016 00:05,TOTAL EAST,23314,3350.67,6500,-9999
10/28/2016 00:05,UPNY CONED,23315,1142.57,4850,-9999
10/28/2016 00:05,WEST CENTRAL,23312,38.24,9999,-9999
10/28/2016 00:10,CENTRAL EAST - VC,23330,1970.99,2160,-9999
10/28/2016 00:10,DYSINGER EAST,23326,444.9,3150,-9999
10/28/2016 00:10,MOSES SOUTH,23319,1908.92,2850,-1600
10/28/2016 00:10,SCH - HQ - NY,23324,1270,1270,-500
10/28/2016 00:10,SCH - HQ_CEDARS,325274,69,150,-40
10/28/2016 00:10,SCH - HQ_IMPORT_EXPORT,325376,966,1310,-9999
10/28/2016 00:10,SCH - NE - NY,23318,-334.26,950,-700
10/28/2016 00:10,SCH - NPX_1385,325277,0,0,0
10/28/2016 00:10,SCH - NPX_CSC,325154,115,330,-330
10/28/2016 00:10,SCH - OH - NY,23317,206.67,1750,-1600
10/28/2016 00:10,SCH - PJ - NY,23316,86.75,1700,-1300
10/28/2016 00:10,SCH - PJM_HTP,325905,0,660,-660
10/28/2016 00:10,SCH - PJM_NEPTUNE,325305,330,660,-660
10/28/2016 00:10,SCH - PJM_VFT,325658,265,315,-315
10/28/2016 00:10,SPR/DUN-SOUTH,23320,2006.29,4350,-9999
10/28/2016 00:10,TOTAL EAST,23314,3416.19,6500,-9999
10/28/2016 00:10,UPNY CONED,23315,1023.52,4850,-9999
10/28/2016 00:10,WEST CENTRAL,23312,98.07,9999,-9999
10/28/2016 00:15,CENTRAL EAST - VC,23330,1959.91,2160,-9999
10/28/2016 00:15,DYSINGER EAST,23326,484.04,3150,-9999
10/28/2016 00:15,MOSES SOUTH,23319,1851.64,2850,-1600
10/28/2016 00:15,SCH - HQ - NY,23324,1270,1270,-500
10/28/2016 00:15,SCH - HQ_CEDARS,325274,69,150,-40
10/28/2016 00:15,SCH - HQ_IMPORT_EXPORT,325376,966,1310,-9999
10/28/2016 00:15,SCH - NE - NY,23318,-414.71,950,-700
10/28/2016 00:15,SCH - NPX_1385,325277,0,0,0
10/28/2016 00:15,SCH - NPX_CSC,325154,115,330,-330
10/28/2016 00:15,SCH - OH - NY,23317,206.93,1750,-1600
10/28/2016 00:15,SCH - PJ - NY,23316,110.01,1700,-1300
10/28/2016 00:15,SCH - PJM_HTP,325905,0,660,-660
10/28/2016 00:15,SCH - PJM_NEPTUNE,325305,330,660,-660
10/28/2016 00:15,SCH - PJM_VFT,325658,265,315,-315
10/28/2016 00:15,SPR/DUN-SOUTH,23320,1967.92,4350,-9999
