Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
11/07/2016 00:00,CENTRAL EAST - VC,23330,1700.95,2205,-9999
11/07/2016 00:00,DYSINGER EAST,23326,825.44,3150,-9999
11/07/2016 00:00,MOSES SOUTH,23319,1524.05,2850,-1600
11/07/2016 00:00,SCH - HQ - NY,23324,1386,1500,-500
11/07/2016 00:00,SCH - HQ_CEDARS,325274,130,130,-100
11/07/2016 00:00,SCH - HQ_IMPORT_EXPORT,325376,1082,1310,-9999
11/07/2016 00:00,SCH - NE - NY,23318,-244.23,1050,-1100
11/07/2016 00:00,SCH - NPX_1385,325277,0,0,0
11/07/2016 00:00,SCH - NPX_CSC,325154,272,330,-330
11/07/2016 00:00,SCH - OH - NY,23317,819.81,1300,-1600
11/07/2016 00:00,SCH - PJ - NY,23316,-65.33,1700,-1300
11/07/2016 00:00,SCH - PJM_HTP,325905,0,660,-660
11/07/2016 00:00,SCH - PJM_NEPTUNE,325305,277,660,-660
11/07/2016 00:00,SCH - PJM_VFT,325658,56,315,-315
11/07/2016 00:00,SPR/DUN-SOUTH,23320,2163.45,4600,-9999
11/07/2016 00:00,TOTAL EAST,23314,3111.95,6500,-9999
11/07/2016 00:00,UPNY CONED,23315,1307.45,5100,-9999
11/07/2016 00:00,WEST CENTRAL,23312,590.77,9999,-9999
11/07/2016 00:05,CENTRAL EAST - VC,23330,1724.29,2205,-9999
11/07/2016 00:05,DYSINGER EAST,23326,837.67,3150,-9999
11/07/2016 00:05,MOSES SOUTH,23319,1528.18,2850,-1600
11/07/2016 00:05,SCH - HQ - NY,23324,1372,1500,-500
11/07/2016 00:05,SCH - HQ_CEDARS,325274,130,130,-100
11/07/2016 00:05,SCH - HQ_IMPORT_EXPORT,325376,1068,1310,-9999
11/07/2016 00:05,SCH - NE - NY,23318,-250.18,1050,-1100
11/07/2016 00:05,SCH - NPX_1385,325277,0,0,0
11/07/2016 00:05,SCH - NPX_CSC,325154,330,330,-330
11/07/2016 00:05,SCH - OH - NY,23317,921.65,1300,-1600
11/07/2016 00:05,SCH - PJ - NY,23316,-72.37,1700,-1300
11/07/2016 00:05,SCH - PJM_HTP,325905,0,660,-660
11/07/2016 00:05,SCH - PJM_NEPTUNE,325305,59,660,-660
11/07/2016 00:05,SCH - PJM_VFT,325658,113,315,-315
11/07/2016 00:05,SPR/DUN-SOUTH,23320,2071.13,4600,-9999
11/07/2016 00:05,TOTAL EAST,23314,3146.22,6500,-9999
11/07/2016 00:05,UPNY CONED,23315,1346.99,5100,-9999
11/07/2016 00:05,WEST CENTRAL,23312,604.97,9999,-9999
11/07/2016 00:10,CENTRAL EAST - VC,23330,1683.18,2205,-9999
11/07/2016 00:10,DYSINGER EAST,23326,729.33,3150,-9999
11/07/2016 00:10,MOSES SOUTH,23319,1568.6,2850,-1600
11/07/2016 00:10,SCH - HQ - NY,23324,1372,1500,-500
11/07/2016 00:10,SCH - HQ_CEDARS,325274,130,130,-100
11/07/2016 00:10,SCH - HQ_IMPORT_EXPORT,325376,1068,1310,-9999
11/07/2016 00:10,SCH - NE - NY,23318,-250.41,1050,-1100
11/07/2016 00:10,SCH - NPX_1385,325277,0,0,0
11/07/2016 00:10,SCH - NPX_CSC,325154,330,330,-330
11/07/2016 00:10,SCH - OH - NY,23317,921.83,1300,-1600
11/07/2016 00:10,SCH - PJ - NY,23316,-72.5,1700,-1300
11/07/2016 00:10,SCH - PJM_HTP,325905,0,660,-660
11/07/2016 00:10,SCH - PJM_NEPTUNE,325305,60,660,-660
11/07/2016 00:10,SCH - PJM_VFT,325658,113,315,-315
11/07/2016 00:10,SPR/DUN-SOUTH,23320,2041.91,4600,-9999
11/07/2016 00:10,TOTAL EAST,23314,3087.31,6500,-9999
11/07/2016 00:10,UPNY CONED,23315,1284.71,5100,-9999
11/07/2016 00:10,WEST CENTRAL,23312,497.7,9999,-9999
11/07/2016 00:15,CENTRAL EAST - VC,23330,1673.82,2205,-9999
11/07/2016 00:15,DYSINGER EAST,23326,732.33,3150,-9999
11/07/2016 00:15,MOSES SOUTH,23319,1560.52,2850,-1600
11/07/2016 00:15,SCH - HQ - NY,23324,1372,1500,-500
11/07/2016 00:15,SCH - HQ_CEDARS,325274,130,130,-100
11/07/2016 00:15,SCH - HQ_IMPORT_EXPORT,325376,1068,1310,-9999
11/07/2016 00:15,SCH - NE - NY,23318,-250,1050,-1100
11/07/2016 00:15,SCH - NPX_1385,325277,0,0,0
11/07/2016 00:15,SCH - NPX_CSC,325154,330,330,-330
11/07/2016 00:15,SCH - OH - NY,23317,921.81,1300,-1600
11/07/2016 00:15,SCH - PJ - NY,23316,-74.4,1700,-1300
11/07/2016 00:15,SCH - PJM_HTP,325905,0,660,-660
11/07/2016 00:15,SCH - PJM_NEPTUNE,325305,60,660,-660
11/07/2016 00:15,SCH - PJM_VFT,325658,56,315,-315
11/07/2016 00:15,SPR/DUN-SOUTH,23320,2078.63,4600,-9999
11/07/2016 00:15,TOTAL EAST,23314,3101.62,6500,-9999
11/07/2016 00:15,UPNY CONED,23315,1298.09,5100,-9999
11/07/2016 00:15,WEST CENTRAL,23312,501.69,9999,-9999
11/07/2016 00:20,CENTRAL EAST - VC,23330,1699.56,2205,-9999
11/07/2016 00:20,DYSINGER EAST,23326,771.82,3150,-9999
11/07/2016 00:20,MOSES SOUTH,23319,1604.85,2850,-1600
11/07/2016 00:20,SCH - HQ - NY,23324,1372,1500,-500
11/07/2016 00:20,SCH - HQ_CEDARS,325274,130,130,-100
11/07/2016 00:20,SCH - HQ_IMPORT_EXPORT,325376,1068,1310,-9999
11/07/2016 00:20,SCH - NE - NY,23318,-249.81,1050,-1100
11/07/2016 00:20,SCH - NPX_1385,325277,0,0,0
11/07/2016 00:20,SCH - NPX_CSC,325154,330,330,-330
11/07/2016 00:20,SCH - OH - NY,23317,921.84,1300,-1600
11/07/2016 00:20,SCH - PJ - NY,23316,-74.44,1700,-1300
11/07/2016 00:20,SCH - PJM_HTP,325905,0,660,-660
11/07/2016 00:20,SCH - PJM_NEPTUNE,325305,60,660,-660
11/07/2016 00:20,SCH - PJM_VFT,325658,0,315,-315
11/07/2016 00:20,SPR/DUN-SOUTH,23320,2136.83,4600,-9999
11/07/2016 00:20,TOTAL EAST,23314,3137.74,6500,-9999
11/07/2016 00:20,UPNY CONED,23315,1349.56,5100,-9999
11/07/2016 00:20,WEST CENTRAL,23312,539.68,9999,-9999
11/07/2016 00:25,CENTRAL EAST - VC,23330,1693.77,2205,-9999
11/07/2016 00:25,DYSINGER EAST,23326,716.81,3150,-9999
11/07/2016 00:25,MOSES SOUTH,23319,1599.58,2850,-1600
11/07/2016 00:25,SCH - HQ - NY,23324,1372,1500,-500
11/07/2016 00:25,SCH - HQ_CEDARS,325274,130,130,-100
11/07/2016 00:25,SCH - HQ_IMPORT_EXPORT,325376,1068,1310,-9999
11/07/2016 00:25,SCH - NE - NY,23318,-249.98,1050,-1100
11/07/2016 00:25,SCH - NPX_1385,325277,0,0,0
11/07/2016 00:25,SCH - NPX_CSC,325154,330,330,-330
11/07/2016 00:25,SCH - OH - NY,23317,921.9,1300,-1600
11/07/2016 00:25,SCH - PJ - NY,23316,-74.19,1700,-1300
11/07/2016 00:25,SCH - PJM_HTP,325905,0,660,-660
11/07/2016 00:25,SCH - PJM_NEPTUNE,325305,60,660,-660
11/07/2016 00:25,SCH - PJM_VFT,325658,0,315,-315
11/07/2016 00:25,SPR/DUN-SOUTH,23320,2111.23,4600,-9999
11/07/2016 00:25,TOTAL EAST,23314,3122.6,6500,-9999
11/07/2016 00:25,UPNY CONED,23315,1320.66,5100,-9999
11/07/2016 00:25,WEST CENTRAL,23312,485.16,9999,-9999
11/07/2016 00:30,CENTRAL EAST - VC,23330,1720.7,2205,-9999
11/07/2016 00:30,DYSINGER EAST,23326,707.43,3150,-9999
11/07/2016 00:30,MOSES SOUTH,23319,1614.17,2850,-1600
11/07/2016 00:30,SCH - HQ - NY,23324,1372,1500,-500
11/07/2016 00:30,SCH - HQ_CEDARS,325274,130,130,-100
11/07/2016 00:30,SCH - HQ_IMPORT_EXPORT,325376,1068,1310,-9999
11/07/2016 00:30,SCH - NE - NY,23318,-331.97,1050,-1100
11/07/2016 00:30,SCH - NPX_1385,325277,0,0,0
11/07/2016 00:30,SCH - NPX_CSC,325154,330,330,-330
11/07/2016 00:30,SCH - OH - NY,23317,921.9,1300,-1600
11/07/2016 00:30,SCH - PJ - NY,23316,-79.74,1700,-1300
11/07/2016 00:30,SCH - PJM_HTP,325905,0,660,-660
11/07/2016 00:30,SCH - PJM_NEPTUNE,325305,60,660,-660
11/07/2016 00:30,SCH - PJM_VFT,325658,0,315,-315
11/07/2016 00:30,SPR/DUN-SOUTH,23320,2061.77,4600,-9999
