Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/09/2016 00:00,CENTRAL EAST - VC,23330,2078.73,2515,-9999
09/09/2016 00:00,DYSINGER EAST,23326,833.53,3150,-9999
09/09/2016 00:00,MOSES SOUTH,23319,2037.03,3150,-1600
09/09/2016 00:00,SCH - HQ - NY,23324,1450,1500,-1000
09/09/2016 00:00,SCH - HQ_CEDARS,325274,70,70,0
09/09/2016 00:00,SCH - HQ_IMPORT_EXPORT,325376,1146,1310,-9999
09/09/2016 00:00,SCH - NE - NY,23318,-1025.67,1400,-1600
09/09/2016 00:00,SCH - NPX_1385,325277,145,200,-200
09/09/2016 00:00,SCH - NPX_CSC,325154,330,330,-330
09/09/2016 00:00,SCH - OH - NY,23317,851.73,1450,-1600
09/09/2016 00:00,SCH - PJ - NY,23316,865.08,1700,-1300
09/09/2016 00:00,SCH - PJM_HTP,325905,0,0,0
09/09/2016 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
09/09/2016 00:00,SCH - PJM_VFT,325658,315,315,-315
09/09/2016 00:00,SPR/DUN-SOUTH,23320,2590.09,4350,-9999
09/09/2016 00:00,TOTAL EAST,23314,3909.74,6500,-9999
09/09/2016 00:00,UPNY CONED,23315,1931.53,4850,-9999
09/09/2016 00:00,WEST CENTRAL,23312,112.4,9999,-9999
09/09/2016 00:05,CENTRAL EAST - VC,23330,2124.62,2485,-9999
09/09/2016 00:05,DYSINGER EAST,23326,808.41,3150,-9999
09/09/2016 00:05,MOSES SOUTH,23319,2008.3,3150,-1600
09/09/2016 00:05,SCH - HQ - NY,23324,1401,1500,-1000
09/09/2016 00:05,SCH - HQ_CEDARS,325274,70,70,0
09/09/2016 00:05,SCH - HQ_IMPORT_EXPORT,325376,1097,1310,-9999
09/09/2016 00:05,SCH - NE - NY,23318,-1106.87,1400,-1600
09/09/2016 00:05,SCH - NPX_1385,325277,185,200,-200
09/09/2016 00:05,SCH - NPX_CSC,325154,330,330,-330
09/09/2016 00:05,SCH - OH - NY,23317,938.48,1450,-1600
09/09/2016 00:05,SCH - PJ - NY,23316,853.4,1700,-1300
09/09/2016 00:05,SCH - PJM_HTP,325905,0,0,0
09/09/2016 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/09/2016 00:05,SCH - PJM_VFT,325658,315,315,-315
09/09/2016 00:05,SPR/DUN-SOUTH,23320,2585.22,4350,-9999
09/09/2016 00:05,TOTAL EAST,23314,3904,6500,-9999
09/09/2016 00:05,UPNY CONED,23315,1903.08,4850,-9999
09/09/2016 00:05,WEST CENTRAL,23312,91.3,9999,-9999
09/09/2016 00:10,CENTRAL EAST - VC,23330,2075.69,2485,-9999
09/09/2016 00:10,DYSINGER EAST,23326,705.75,3150,-9999
09/09/2016 00:10,MOSES SOUTH,23319,2055.72,3150,-1600
09/09/2016 00:10,SCH - HQ - NY,23324,1401,1500,-1000
09/09/2016 00:10,SCH - HQ_CEDARS,325274,70,70,0
09/09/2016 00:10,SCH - HQ_IMPORT_EXPORT,325376,1097,1310,-9999
09/09/2016 00:10,SCH - NE - NY,23318,-1107.46,1400,-1600
09/09/2016 00:10,SCH - NPX_1385,325277,185,200,-200
09/09/2016 00:10,SCH - NPX_CSC,325154,330,330,-330
09/09/2016 00:10,SCH - OH - NY,23317,938.57,1450,-1600
09/09/2016 00:10,SCH - PJ - NY,23316,855.35,1700,-1300
09/09/2016 00:10,SCH - PJM_HTP,325905,0,0,0
09/09/2016 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
09/09/2016 00:10,SCH - PJM_VFT,325658,315,315,-315
09/09/2016 00:10,SPR/DUN-SOUTH,23320,2525.46,4350,-9999
09/09/2016 00:10,TOTAL EAST,23314,3839.87,6500,-9999
09/09/2016 00:10,UPNY CONED,23315,1849.18,4850,-9999
09/09/2016 00:10,WEST CENTRAL,23312,2.83,9999,-9999
09/09/2016 00:15,CENTRAL EAST - VC,23330,2101.52,2485,-9999
09/09/2016 00:15,DYSINGER EAST,23326,711.04,3150,-9999
09/09/2016 00:15,MOSES SOUTH,23319,2088.69,3150,-1600
09/09/2016 00:15,SCH - HQ - NY,23324,1401,1500,-1000
09/09/2016 00:15,SCH - HQ_CEDARS,325274,70,70,0
09/09/2016 00:15,SCH - HQ_IMPORT_EXPORT,325376,1097,1310,-9999
09/09/2016 00:15,SCH - NE - NY,23318,-1107.59,1400,-1600
09/09/2016 00:15,SCH - NPX_1385,325277,185,200,-200
09/09/2016 00:15,SCH - NPX_CSC,325154,330,330,-330
09/09/2016 00:15,SCH - OH - NY,23317,938.69,1450,-1600
09/09/2016 00:15,SCH - PJ - NY,23316,852.58,1700,-1300
09/09/2016 00:15,SCH - PJM_HTP,325905,0,0,0
09/09/2016 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
09/09/2016 00:15,SCH - PJM_VFT,325658,315,315,-315
09/09/2016 00:15,SPR/DUN-SOUTH,23320,2533.74,4350,-9999
09/09/2016 00:15,TOTAL EAST,23314,3880.35,6500,-9999
09/09/2016 00:15,UPNY CONED,23315,1875.09,4850,-9999
