Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
05/25/2017 00:00,CENTRAL EAST - VC,23330,2370.04,2520,-9999
05/25/2017 00:00,DYSINGER EAST,23326,1082.94,3150,-9999
05/25/2017 00:00,MOSES SOUTH,23319,1524.63,2650,-1600
05/25/2017 00:00,SCH - HQ - NY,23324,1233,1500,-1000
05/25/2017 00:00,SCH - HQ_CEDARS,325274,0,190,-40
05/25/2017 00:00,SCH - HQ_IMPORT_EXPORT,325376,929,1310,-9999
05/25/2017 00:00,SCH - NE - NY,23318,-697.66,700,-900
05/25/2017 00:00,SCH - NPX_1385,325277,-58,200,-200
05/25/2017 00:00,SCH - NPX_CSC,325154,107,330,-330
05/25/2017 00:00,SCH - OH - NY,23317,1123.32,1750,-1900
05/25/2017 00:00,SCH - PJ - NY,23316,-353.1,1700,-1300
05/25/2017 00:00,SCH - PJM_HTP,325905,0,0,0
05/25/2017 00:00,SCH - PJM_NEPTUNE,325305,528,660,-660
05/25/2017 00:00,SCH - PJM_VFT,325658,0,315,-315
05/25/2017 00:00,SPR/DUN-SOUTH,23320,2173.55,4600,-9999
05/25/2017 00:00,TOTAL EAST,23314,3866.48,6500,-9999
05/25/2017 00:00,UPNY CONED,23315,1562.77,5100,-9999
05/25/2017 00:00,WEST CENTRAL,23312,814.87,9999,-9999
05/25/2017 00:05,CENTRAL EAST - VC,23330,2420.76,2520,-9999
05/25/2017 00:05,DYSINGER EAST,23326,1228.38,3150,-9999
05/25/2017 00:05,MOSES SOUTH,23319,1500.3,2650,-1600
05/25/2017 00:05,SCH - HQ - NY,23324,1247,1500,-1000
05/25/2017 00:05,SCH - HQ_CEDARS,325274,0,190,-40
05/25/2017 00:05,SCH - HQ_IMPORT_EXPORT,325376,943,1310,-9999
05/25/2017 00:05,SCH - NE - NY,23318,-697.55,700,-900
05/25/2017 00:05,SCH - NPX_1385,325277,-34,200,-200
05/25/2017 00:05,SCH - NPX_CSC,325154,0,330,-330
05/25/2017 00:05,SCH - OH - NY,23317,1147.94,1750,-1900
05/25/2017 00:05,SCH - PJ - NY,23316,-403.12,1700,-1300
05/25/2017 00:05,SCH - PJM_HTP,325905,0,0,0
05/25/2017 00:05,SCH - PJM_NEPTUNE,325305,561,660,-660
05/25/2017 00:05,SCH - PJM_VFT,325658,0,315,-315
05/25/2017 00:05,SPR/DUN-SOUTH,23320,2231.68,4600,-9999
05/25/2017 00:05,TOTAL EAST,23314,3867.74,6500,-9999
05/25/2017 00:05,UPNY CONED,23315,1660.6,5100,-9999
05/25/2017 00:05,WEST CENTRAL,23312,956.94,9999,-9999
05/25/2017 00:10,CENTRAL EAST - VC,23330,2401.78,2520,-9999
05/25/2017 00:10,DYSINGER EAST,23326,1173.24,3150,-9999
05/25/2017 00:10,MOSES SOUTH,23319,1532.86,2650,-1600
05/25/2017 00:10,SCH - HQ - NY,23324,1247,1500,-1000
05/25/2017 00:10,SCH - HQ_CEDARS,325274,0,190,-40
05/25/2017 00:10,SCH - HQ_IMPORT_EXPORT,325376,943,1310,-9999
05/25/2017 00:10,SCH - NE - NY,23318,-697.77,700,-900
05/25/2017 00:10,SCH - NPX_1385,325277,-34,200,-200
05/25/2017 00:10,SCH - NPX_CSC,325154,0,330,-330
05/25/2017 00:10,SCH - OH - NY,23317,1148.22,1750,-1900
05/25/2017 00:10,SCH - PJ - NY,23316,-403.86,1700,-1300
05/25/2017 00:10,SCH - PJM_HTP,325905,0,0,0
05/25/2017 00:10,SCH - PJM_NEPTUNE,325305,561,660,-660
05/25/2017 00:10,SCH - PJM_VFT,325658,0,315,-315
05/25/2017 00:10,SPR/DUN-SOUTH,23320,2186.79,4600,-9999
