Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/16/2018 00:00,CENTRAL EAST - VC,23330,1969.25,2290,-9999
09/16/2018 00:00,DYSINGER EAST,23326,444.8,3150,-9999
09/16/2018 00:00,MOSES SOUTH,23319,2149.76,3150,-1600
09/16/2018 00:00,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:00,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:00,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:00,SCH - NE - NY,23318,-159.9,1400,-1600
09/16/2018 00:00,SCH - NPX_1385,325277,57,200,-200
09/16/2018 00:00,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:00,SCH - OH - NY,23317,1104.14,1900,-1750
09/16/2018 00:00,SCH - PJ - NY,23316,1112.63,1800,-400
09/16/2018 00:00,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:00,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:00,SPR/DUN-SOUTH,23320,1912.55,4350,-9999
09/16/2018 00:00,TOTAL EAST,23314,3770.04,6800,-9999
09/16/2018 00:00,UPNY CONED,23315,2306.75,5700,-9999
09/16/2018 00:00,WEST CENTRAL,23312,-88.13,9999,-9999
09/16/2018 00:05,CENTRAL EAST - VC,23330,1893.47,2290,-9999
09/16/2018 00:05,DYSINGER EAST,23326,333.78,3150,-9999
09/16/2018 00:05,MOSES SOUTH,23319,2173.33,3150,-1600
09/16/2018 00:05,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:05,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:05,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:05,SCH - NE - NY,23318,-90.8,1400,-1600
09/16/2018 00:05,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:05,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:05,SCH - OH - NY,23317,1097.01,1900,-1750
09/16/2018 00:05,SCH - PJ - NY,23316,1155.61,1800,-400
09/16/2018 00:05,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:05,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:05,SPR/DUN-SOUTH,23320,1862.51,4350,-9999
09/16/2018 00:05,TOTAL EAST,23314,3729.21,6800,-9999
09/16/2018 00:05,UPNY CONED,23315,2263.48,5700,-9999
09/16/2018 00:05,WEST CENTRAL,23312,-193.84,9999,-9999
09/16/2018 00:10,CENTRAL EAST - VC,23330,1978.04,2290,-9999
09/16/2018 00:10,DYSINGER EAST,23326,365.1,3150,-9999
09/16/2018 00:10,MOSES SOUTH,23319,2149.3,3150,-1600
09/16/2018 00:10,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:10,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:10,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:10,SCH - NE - NY,23318,-90.83,1400,-1600
09/16/2018 00:10,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:10,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:10,SCH - OH - NY,23317,1096.51,1900,-1750
09/16/2018 00:10,SCH - PJ - NY,23316,1158.37,1800,-400
09/16/2018 00:10,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:10,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:10,SPR/DUN-SOUTH,23320,1944.31,4350,-9999
09/16/2018 00:10,TOTAL EAST,23314,3765.99,6800,-9999
09/16/2018 00:10,UPNY CONED,23315,2332.89,5700,-9999
09/16/2018 00:10,WEST CENTRAL,23312,-153.96,9999,-9999
09/16/2018 00:15,CENTRAL EAST - VC,23330,1940.83,2290,-9999
09/16/2018 00:15,DYSINGER EAST,23326,299.63,3150,-9999
09/16/2018 00:15,MOSES SOUTH,23319,2133.35,3150,-1600
09/16/2018 00:15,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:15,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:15,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:15,SCH - NE - NY,23318,-161.9,1400,-1600
09/16/2018 00:15,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:15,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:15,SCH - OH - NY,23317,1095.86,1900,-1750
09/16/2018 00:15,SCH - PJ - NY,23316,1080.11,1800,-400
09/16/2018 00:15,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:15,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:15,SPR/DUN-SOUTH,23320,1894.04,4350,-9999
09/16/2018 00:15,TOTAL EAST,23314,3715.64,6800,-9999
09/16/2018 00:15,UPNY CONED,23315,2190.65,5700,-9999
09/16/2018 00:15,WEST CENTRAL,23312,-213.91,9999,-9999
09/16/2018 00:20,CENTRAL EAST - VC,23330,1977.63,2290,-9999
09/16/2018 00:20,DYSINGER EAST,23326,359.33,3150,-9999
09/16/2018 00:20,MOSES SOUTH,23319,2104.14,3150,-1600
09/16/2018 00:20,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:20,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:20,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:20,SCH - NE - NY,23318,-233.93,1400,-1600
09/16/2018 00:20,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:20,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:20,SCH - OH - NY,23317,1096.34,1900,-1750
09/16/2018 00:20,SCH - PJ - NY,23316,1003.29,1800,-400
09/16/2018 00:20,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:20,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:20,SPR/DUN-SOUTH,23320,1827.65,4350,-9999
09/16/2018 00:20,TOTAL EAST,23314,3668.49,6800,-9999
09/16/2018 00:20,UPNY CONED,23315,2117.15,5700,-9999
09/16/2018 00:20,WEST CENTRAL,23312,-145.25,9999,-9999
09/16/2018 00:25,CENTRAL EAST - VC,23330,2004.72,2290,-9999
09/16/2018 00:25,DYSINGER EAST,23326,360.78,3150,-9999
09/16/2018 00:25,MOSES SOUTH,23319,2123,3150,-1600
09/16/2018 00:25,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:25,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:25,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:25,SCH - NE - NY,23318,-233.91,1400,-1600
09/16/2018 00:25,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:25,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:25,SCH - OH - NY,23317,1096.27,1900,-1750
09/16/2018 00:25,SCH - PJ - NY,23316,1004.06,1800,-400
09/16/2018 00:25,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:25,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:25,SPR/DUN-SOUTH,23320,1875.35,4350,-9999
09/16/2018 00:25,TOTAL EAST,23314,3693.15,6800,-9999
09/16/2018 00:25,UPNY CONED,23315,2171.78,5700,-9999
09/16/2018 00:25,WEST CENTRAL,23312,-136.57,9999,-9999
09/16/2018 00:30,CENTRAL EAST - VC,23330,1977.12,2290,-9999
09/16/2018 00:30,DYSINGER EAST,23326,361.16,3150,-9999
09/16/2018 00:30,MOSES SOUTH,23319,2123.6,3150,-1600
09/16/2018 00:30,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:30,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:30,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:30,SCH - NE - NY,23318,-245.05,1400,-1600
09/16/2018 00:30,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:30,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:30,SCH - OH - NY,23317,1096.55,1900,-1750
09/16/2018 00:30,SCH - PJ - NY,23316,931.11,1800,-400
09/16/2018 00:30,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:30,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:30,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:30,SPR/DUN-SOUTH,23320,1792.16,4350,-9999
09/16/2018 00:30,TOTAL EAST,23314,3677.14,6800,-9999
09/16/2018 00:30,UPNY CONED,23315,2122.64,5700,-9999
09/16/2018 00:30,WEST CENTRAL,23312,-130.53,9999,-9999
09/16/2018 00:35,CENTRAL EAST - VC,23330,2014.8,2290,-9999
09/16/2018 00:35,DYSINGER EAST,23326,462.29,3150,-9999
09/16/2018 00:35,MOSES SOUTH,23319,2123.33,3150,-1600
09/16/2018 00:35,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:35,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:35,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:35,SCH - NE - NY,23318,-256,1400,-1600
09/16/2018 00:35,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:35,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:35,SCH - OH - NY,23317,1092.44,1900,-1750
09/16/2018 00:35,SCH - PJ - NY,23316,866.46,1800,-400
09/16/2018 00:35,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:35,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:35,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:35,SPR/DUN-SOUTH,23320,1782.44,4350,-9999
09/16/2018 00:35,TOTAL EAST,23314,3632.52,6800,-9999
09/16/2018 00:35,UPNY CONED,23315,2098.22,5700,-9999
09/16/2018 00:35,WEST CENTRAL,23312,-24.3,9999,-9999
09/16/2018 00:40,CENTRAL EAST - VC,23330,1995.33,2315,-9999
09/16/2018 00:40,DYSINGER EAST,23326,465.69,3150,-9999
09/16/2018 00:40,MOSES SOUTH,23319,2127.73,3150,-1600
09/16/2018 00:40,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:40,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:40,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:40,SCH - NE - NY,23318,-256.01,1400,-1600
09/16/2018 00:40,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:40,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:40,SCH - OH - NY,23317,1097.17,1900,-1750
09/16/2018 00:40,SCH - PJ - NY,23316,858.33,1800,-400
09/16/2018 00:40,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:40,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:40,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:40,SPR/DUN-SOUTH,23320,1756.01,4350,-9999
09/16/2018 00:40,TOTAL EAST,23314,3614.14,6800,-9999
09/16/2018 00:40,UPNY CONED,23315,2052.66,5700,-9999
09/16/2018 00:40,WEST CENTRAL,23312,-14.74,9999,-9999
09/16/2018 00:45,CENTRAL EAST - VC,23330,1978.36,2315,-9999
09/16/2018 00:45,DYSINGER EAST,23326,494.9,3150,-9999
09/16/2018 00:45,MOSES SOUTH,23319,2143.08,3150,-1600
09/16/2018 00:45,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:45,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:45,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:45,SCH - NE - NY,23318,-223,1400,-1600
09/16/2018 00:45,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:45,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:45,SCH - OH - NY,23317,1092.43,1900,-1750
09/16/2018 00:45,SCH - PJ - NY,23316,866.63,1800,-400
09/16/2018 00:45,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:45,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:45,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:45,SPR/DUN-SOUTH,23320,1732.32,4350,-9999
09/16/2018 00:45,TOTAL EAST,23314,3557.3,6800,-9999
09/16/2018 00:45,UPNY CONED,23315,2031.4,5700,-9999
09/16/2018 00:45,WEST CENTRAL,23312,16.72,9999,-9999
09/16/2018 00:50,CENTRAL EAST - VC,23330,1979.92,2315,-9999
09/16/2018 00:50,DYSINGER EAST,23326,493.51,3150,-9999
09/16/2018 00:50,MOSES SOUTH,23319,2150.59,3150,-1600
09/16/2018 00:50,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:50,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:50,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:50,SCH - NE - NY,23318,-190.95,1400,-1600
09/16/2018 00:50,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:50,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:50,SCH - OH - NY,23317,1092.15,1900,-1750
09/16/2018 00:50,SCH - PJ - NY,23316,867.89,1800,-400
09/16/2018 00:50,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:50,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:50,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:50,SPR/DUN-SOUTH,23320,1764.38,4350,-9999
09/16/2018 00:50,TOTAL EAST,23314,3543.86,6800,-9999
09/16/2018 00:50,UPNY CONED,23315,2076.44,5700,-9999
09/16/2018 00:50,WEST CENTRAL,23312,20.6,9999,-9999
09/16/2018 00:55,CENTRAL EAST - VC,23330,2016.39,2315,-9999
09/16/2018 00:55,DYSINGER EAST,23326,523.75,3150,-9999
09/16/2018 00:55,MOSES SOUTH,23319,2162.87,3150,-1600
09/16/2018 00:55,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 00:55,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 00:55,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 00:55,SCH - NE - NY,23318,-190.96,1400,-1600
09/16/2018 00:55,SCH - NPX_1385,325277,45,200,-200
09/16/2018 00:55,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 00:55,SCH - OH - NY,23317,1092.41,1900,-1750
09/16/2018 00:55,SCH - PJ - NY,23316,868.61,1800,-400
09/16/2018 00:55,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 00:55,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 00:55,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 00:55,SPR/DUN-SOUTH,23320,1760.66,4350,-9999
09/16/2018 00:55,TOTAL EAST,23314,3546.13,6800,-9999
09/16/2018 00:55,UPNY CONED,23315,2055.19,5700,-9999
09/16/2018 00:55,WEST CENTRAL,23312,55.1,9999,-9999
09/16/2018 01:00,CENTRAL EAST - VC,23330,2045.8,2315,-9999
09/16/2018 01:00,DYSINGER EAST,23326,556.55,3150,-9999
09/16/2018 01:00,MOSES SOUTH,23319,2162.03,3150,-1600
09/16/2018 01:00,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 01:00,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 01:00,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 01:00,SCH - NE - NY,23318,-177.89,1400,-1600
09/16/2018 01:00,SCH - NPX_1385,325277,22,200,-200
09/16/2018 01:00,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 01:00,SCH - OH - NY,23317,1089.43,1900,-1750
09/16/2018 01:00,SCH - PJ - NY,23316,1018.27,1800,-400
09/16/2018 01:00,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 01:00,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 01:00,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 01:00,SPR/DUN-SOUTH,23320,1729.56,4350,-9999
09/16/2018 01:00,TOTAL EAST,23314,3637.31,6800,-9999
09/16/2018 01:00,UPNY CONED,23315,2040.62,5700,-9999
09/16/2018 01:00,WEST CENTRAL,23312,91.32,9999,-9999
09/16/2018 01:05,CENTRAL EAST - VC,23330,2169.53,2315,-9999
09/16/2018 01:05,DYSINGER EAST,23326,617.88,3150,-9999
09/16/2018 01:05,MOSES SOUTH,23319,2179.4,3150,-1600
09/16/2018 01:05,SCH - HQ - NY,23324,1500,1500,-1000
09/16/2018 01:05,SCH - HQ_CEDARS,325274,190,190,0
09/16/2018 01:05,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/16/2018 01:05,SCH - NE - NY,23318,-165.36,1400,-1600
09/16/2018 01:05,SCH - NPX_1385,325277,0,200,-200
09/16/2018 01:05,SCH - NPX_CSC,325154,330,330,-330
09/16/2018 01:05,SCH - OH - NY,23317,1087.13,1900,-1750
09/16/2018 01:05,SCH - PJ - NY,23316,1170.4,1800,-400
09/16/2018 01:05,SCH - PJM_HTP,325905,400,660,-660
09/16/2018 01:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2018 01:05,SCH - PJM_VFT,325658,315,315,-315
09/16/2018 01:05,SPR/DUN-SOUTH,23320,1748.61,4350,-9999
09/16/2018 01:05,TOTAL EAST,23314,3739.13,6800,-9999
09/16/2018 01:05,UPNY CONED,23315,2065.89,5700,-9999
09/16/2018 01:05,WEST CENTRAL,23312,157.35,9999,-9999
