Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/13/2018 00:00,CENTRAL EAST - VC,23330,1852.98,2305,-9999
09/13/2018 00:00,DYSINGER EAST,23326,672.13,3150,-9999
09/13/2018 00:00,MOSES SOUTH,23319,1777.46,3100,-1600
09/13/2018 00:00,SCH - HQ - NY,23324,1500,1500,-1000
09/13/2018 00:00,SCH - HQ_CEDARS,325274,70,70,0
09/13/2018 00:00,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/13/2018 00:00,SCH - NE - NY,23318,-333.11,1400,-1600
09/13/2018 00:00,SCH - NPX_1385,325277,138,200,-200
09/13/2018 00:00,SCH - NPX_CSC,325154,330,330,-330
09/13/2018 00:00,SCH - OH - NY,23317,566.41,1900,-1750
09/13/2018 00:00,SCH - PJ - NY,23316,1205.33,1800,-400
09/13/2018 00:00,SCH - PJM_HTP,325905,300,660,-660
09/13/2018 00:00,SCH - PJM_NEPTUNE,325305,645,660,-660
09/13/2018 00:00,SCH - PJM_VFT,325658,166,315,-315
09/13/2018 00:00,SPR/DUN-SOUTH,23320,2409.62,4350,-9999
09/13/2018 00:00,TOTAL EAST,23314,3330.13,6800,-9999
09/13/2018 00:00,UPNY CONED,23315,2651.14,5700,-9999
09/13/2018 00:00,WEST CENTRAL,23312,275.01,9999,-9999
09/13/2018 00:05,CENTRAL EAST - VC,23330,1823.1,2305,-9999
09/13/2018 00:05,DYSINGER EAST,23326,687.29,3150,-9999
09/13/2018 00:05,MOSES SOUTH,23319,1762.69,3100,-1600
09/13/2018 00:05,SCH - HQ - NY,23324,1500,1500,-1000
09/13/2018 00:05,SCH - HQ_CEDARS,325274,70,70,0
09/13/2018 00:05,SCH - HQ_IMPORT_EXPORT,325376,1200,1310,-9999
09/13/2018 00:05,SCH - NE - NY,23318,-381,1400,-1600
09/13/2018 00:05,SCH - NPX_1385,325277,82,200,-200
09/13/2018 00:05,SCH - NPX_CSC,325154,330,330,-330
09/13/2018 00:05,SCH - OH - NY,23317,747.45,1900,-1750
09/13/2018 00:05,SCH - PJ - NY,23316,1110.55,1800,-400
09/13/2018 00:05,SCH - PJM_HTP,325905,400,660,-660
09/13/2018 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/13/2018 00:05,SCH - PJM_VFT,325658,315,315,-315
