Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
11/06/2017 00:00,CENTRAL EAST - VC,23330,2277.99,2385,-9999
11/06/2017 00:00,DYSINGER EAST,23326,1061.79,3150,-9999
11/06/2017 00:00,MOSES SOUTH,23319,1805.92,2850,-1600
11/06/2017 00:00,SCH - HQ - NY,23324,824,1175,-500
11/06/2017 00:00,SCH - HQ_CEDARS,325274,20,40,-100
11/06/2017 00:00,SCH - HQ_IMPORT_EXPORT,325376,635,1310,-9999
11/06/2017 00:00,SCH - NE - NY,23318,298.31,1400,-1600
11/06/2017 00:00,SCH - NPX_1385,325277,150,200,-200
11/06/2017 00:00,SCH - NPX_CSC,325154,330,330,-330
11/06/2017 00:00,SCH - OH - NY,23317,1074.11,1750,-1700
11/06/2017 00:00,SCH - PJ - NY,23316,-81.62,1950,-1350
11/06/2017 00:00,SCH - PJM_HTP,325905,0,660,-660
11/06/2017 00:00,SCH - PJM_NEPTUNE,325305,330,660,-660
11/06/2017 00:00,SCH - PJM_VFT,325658,-63,315,-315
11/06/2017 00:00,SPR/DUN-SOUTH,23320,2193.65,4600,-9999
11/06/2017 00:00,TOTAL EAST,23314,4324.8,6800,-9999
11/06/2017 00:00,UPNY CONED,23315,1915.54,5700,-9999
11/06/2017 00:00,WEST CENTRAL,23312,802.36,9999,-9999
11/06/2017 00:05,CENTRAL EAST - VC,23330,2284.18,2385,-9999
11/06/2017 00:05,DYSINGER EAST,23326,951.06,3150,-9999
11/06/2017 00:05,MOSES SOUTH,23319,1974.36,2850,-1600
11/06/2017 00:05,SCH - HQ - NY,23324,1013,1175,-500
11/06/2017 00:05,SCH - HQ_CEDARS,325274,40,40,-100
11/06/2017 00:05,SCH - HQ_IMPORT_EXPORT,325376,824,1310,-9999
11/06/2017 00:05,SCH - NE - NY,23318,398.34,1400,-1600
11/06/2017 00:05,SCH - NPX_1385,325277,146,200,-200
11/06/2017 00:05,SCH - NPX_CSC,325154,330,330,-330
