Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
07/05/2016 00:00,CENTRAL EAST - VC,23330,1914.06,2430,-9999
07/05/2016 00:00,DYSINGER EAST,23326,223.78,3150,-9999
07/05/2016 00:00,MOSES SOUTH,23319,2105.93,3150,-1600
07/05/2016 00:00,SCH - HQ - NY,23324,1484,1500,-1000
07/05/2016 00:00,SCH - HQ_CEDARS,325274,190,190,-40
07/05/2016 00:00,SCH - HQ_IMPORT_EXPORT,325376,1180,1310,-9999
07/05/2016 00:00,SCH - NE - NY,23318,-211.26,1400,-1600
07/05/2016 00:00,SCH - NPX_1385,325277,149,200,-200
07/05/2016 00:00,SCH - NPX_CSC,325154,330,330,-330
07/05/2016 00:00,SCH - OH - NY,23317,705.05,1750,-1600
07/05/2016 00:00,SCH - PJ - NY,23316,966.36,1700,-1300
07/05/2016 00:00,SCH - PJM_HTP,325905,0,0,0
07/05/2016 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
07/05/2016 00:00,SCH - PJM_VFT,325658,50,315,-315
07/05/2016 00:00,SPR/DUN-SOUTH,23320,2387.23,4350,-9999
07/05/2016 00:00,TOTAL EAST,23314,3639.94,6500,-9999
07/05/2016 00:00,UPNY CONED,23315,1124.89,4850,-9999
07/05/2016 00:00,WEST CENTRAL,23312,-191.21,9999,-9999
07/05/2016 00:05,CENTRAL EAST - VC,23330,2049.32,2430,-9999
07/05/2016 00:05,DYSINGER EAST,23326,348.77,3150,-9999
07/05/2016 00:05,MOSES SOUTH,23319,2085.83,3150,-1600
07/05/2016 00:05,SCH - HQ - NY,23324,1468,1500,-1000
07/05/2016 00:05,SCH - HQ_CEDARS,325274,190,190,-40
07/05/2016 00:05,SCH - HQ_IMPORT_EXPORT,325376,1164,1310,-9999
07/05/2016 00:05,SCH - NE - NY,23318,-213.21,1400,-1600
07/05/2016 00:05,SCH - NPX_1385,325277,155,200,-200
07/05/2016 00:05,SCH - NPX_CSC,325154,330,330,-330
07/05/2016 00:05,SCH - OH - NY,23317,685.39,1750,-1600
07/05/2016 00:05,SCH - PJ - NY,23316,1214.08,1700,-1300
07/05/2016 00:05,SCH - PJM_HTP,325905,0,0,0
07/05/2016 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
07/05/2016 00:05,SCH - PJM_VFT,325658,50,315,-315
07/05/2016 00:05,SPR/DUN-SOUTH,23320,2441.39,4350,-9999
07/05/2016 00:05,TOTAL EAST,23314,3812.19,6500,-9999
07/05/2016 00:05,UPNY CONED,23315,1230.65,4850,-9999
07/05/2016 00:05,WEST CENTRAL,23312,-54.15,9999,-9999
07/05/2016 00:10,CENTRAL EAST - VC,23330,2020.14,2430,-9999
07/05/2016 00:10,DYSINGER EAST,23326,224.2,3150,-9999
07/05/2016 00:10,MOSES SOUTH,23319,2163.59,3150,-1600
07/05/2016 00:10,SCH - HQ - NY,23324,1468,1500,-1000
07/05/2016 00:10,SCH - HQ_CEDARS,325274,190,190,-40
07/05/2016 00:10,SCH - HQ_IMPORT_EXPORT,325376,1164,1310,-9999
07/05/2016 00:10,SCH - NE - NY,23318,-213.28,1400,-1600
07/05/2016 00:10,SCH - NPX_1385,325277,155,200,-200
07/05/2016 00:10,SCH - NPX_CSC,325154,330,330,-330
07/05/2016 00:10,SCH - OH - NY,23317,684.94,1750,-1600
07/05/2016 00:10,SCH - PJ - NY,23316,1215.5,1700,-1300
07/05/2016 00:10,SCH - PJM_HTP,325905,0,0,0
07/05/2016 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
07/05/2016 00:10,SCH - PJM_VFT,325658,50,315,-315
07/05/2016 00:10,SPR/DUN-SOUTH,23320,2303.66,4350,-9999
07/05/2016 00:10,TOTAL EAST,23314,3864.11,6500,-9999
07/05/2016 00:10,UPNY CONED,23315,1117.39,4850,-9999
07/05/2016 00:10,WEST CENTRAL,23312,-177.08,9999,-9999
07/05/2016 00:15,CENTRAL EAST - VC,23330,2015.77,2430,-9999
07/05/2016 00:15,DYSINGER EAST,23326,346.98,3150,-9999
07/05/2016 00:15,MOSES SOUTH,23319,2093.83,3150,-1600
07/05/2016 00:15,SCH - HQ - NY,23324,1468,1500,-1000
07/05/2016 00:15,SCH - HQ_CEDARS,325274,190,190,-40
07/05/2016 00:15,SCH - HQ_IMPORT_EXPORT,325376,1164,1310,-9999
07/05/2016 00:15,SCH - NE - NY,23318,-213.27,1400,-1600
07/05/2016 00:15,SCH - NPX_1385,325277,155,200,-200
07/05/2016 00:15,SCH - NPX_CSC,325154,330,330,-330
07/05/2016 00:15,SCH - OH - NY,23317,686.11,1750,-1600
07/05/2016 00:15,SCH - PJ - NY,23316,1304.97,1700,-1300
07/05/2016 00:15,SCH - PJM_HTP,325905,0,0,0
07/05/2016 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
07/05/2016 00:15,SCH - PJM_VFT,325658,50,315,-315
07/05/2016 00:15,SPR/DUN-SOUTH,23320,2273.34,4350,-9999
07/05/2016 00:15,TOTAL EAST,23314,3989.99,6500,-9999
07/05/2016 00:15,UPNY CONED,23315,1133.32,4850,-9999
07/05/2016 00:15,WEST CENTRAL,23312,-49.62,9999,-9999
07/05/2016 00:20,CENTRAL EAST - VC,23330,1968.25,2430,-9999
07/05/2016 00:20,DYSINGER EAST,23326,348.11,3150,-9999
