Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
04/08/2016 00:00,CENTRAL EAST - VC,23330,2387.33,2560,-9999
04/08/2016 00:00,DYSINGER EAST,23326,446.86,3150,-9999
04/08/2016 00:00,MOSES SOUTH,23319,1498.5,2650,-1600
04/08/2016 00:00,SCH - HQ - NY,23324,1180,1500,-1000
04/08/2016 00:00,SCH - HQ_CEDARS,325274,0,110,-60
04/08/2016 00:00,SCH - HQ_IMPORT_EXPORT,325376,921,1310,-9999
04/08/2016 00:00,SCH - NE - NY,23318,-1082.54,600,-1600
04/08/2016 00:00,SCH - NPX_1385,325277,-14,200,-200
04/08/2016 00:00,SCH - NPX_CSC,325154,107,330,-330
04/08/2016 00:00,SCH - OH - NY,23317,604.08,900,-1900
04/08/2016 00:00,SCH - PJ - NY,23316,-295.93,2600,-1300
04/08/2016 00:00,SCH - PJM_HTP,325905,0,0,0
04/08/2016 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
04/08/2016 00:00,SCH - PJM_VFT,325658,269,315,-315
04/08/2016 00:00,SPR/DUN-SOUTH,23320,1373.54,4600,-9999
04/08/2016 00:00,TOTAL EAST,23314,2953.71,6500,-9999
04/08/2016 00:00,UPNY CONED,23315,1407.12,5100,-9999
04/08/2016 00:00,WEST CENTRAL,23312,126.44,9999,-9999
04/08/2016 00:05,CENTRAL EAST - VC,23330,2376.48,2560,-9999
04/08/2016 00:05,DYSINGER EAST,23326,381.44,3150,-9999
04/08/2016 00:05,MOSES SOUTH,23319,1490.6,2650,-1600
04/08/2016 00:05,SCH - HQ - NY,23324,1188,1500,-1000
04/08/2016 00:05,SCH - HQ_CEDARS,325274,0,110,-60
04/08/2016 00:05,SCH - HQ_IMPORT_EXPORT,325376,929,1310,-9999
04/08/2016 00:05,SCH - NE - NY,23318,-1132.65,600,-1600
04/08/2016 00:05,SCH - NPX_1385,325277,0,200,-200
04/08/2016 00:05,SCH - NPX_CSC,325154,215,330,-330
04/08/2016 00:05,SCH - OH - NY,23317,603.53,900,-1900
04/08/2016 00:05,SCH - PJ - NY,23316,-273.72,2600,-1300
