Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/16/2017 00:00,CENTRAL EAST - VC,23330,1869.85,2260,-9999
09/16/2017 00:00,DYSINGER EAST,23326,441.01,3150,-9999
09/16/2017 00:00,MOSES SOUTH,23319,1872.28,3000,-1600
09/16/2017 00:00,SCH - HQ - NY,23324,1293,1430,-800
09/16/2017 00:00,SCH - HQ_CEDARS,325274,40,190,-40
09/16/2017 00:00,SCH - HQ_IMPORT_EXPORT,325376,952,1310,-9999
09/16/2017 00:00,SCH - NE - NY,23318,-226.44,1400,-1600
09/16/2017 00:00,SCH - NPX_1385,325277,135,200,-200
09/16/2017 00:00,SCH - NPX_CSC,325154,330,330,-330
09/16/2017 00:00,SCH - OH - NY,23317,647.93,1450,-1600
09/16/2017 00:00,SCH - PJ - NY,23316,382.51,1950,-1350
09/16/2017 00:00,SCH - PJM_HTP,325905,0,0,0
09/16/2017 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2017 00:00,SCH - PJM_VFT,325658,290,315,-315
09/16/2017 00:00,SPR/DUN-SOUTH,23320,2908.62,4350,-9999
09/16/2017 00:00,TOTAL EAST,23314,3425.55,6800,-9999
09/16/2017 00:00,UPNY CONED,23315,2253.61,5700,-9999
09/16/2017 00:00,WEST CENTRAL,23312,39.19,9999,-9999
09/16/2017 00:05,CENTRAL EAST - VC,23330,1825.86,2260,-9999
09/16/2017 00:05,DYSINGER EAST,23326,411.09,3150,-9999
09/16/2017 00:05,MOSES SOUTH,23319,1837.92,3000,-1600
09/16/2017 00:05,SCH - HQ - NY,23324,1265,1430,-800
09/16/2017 00:05,SCH - HQ_CEDARS,325274,40,190,-40
09/16/2017 00:05,SCH - HQ_IMPORT_EXPORT,325376,924,1310,-9999
09/16/2017 00:05,SCH - NE - NY,23318,-123.95,1400,-1600
09/16/2017 00:05,SCH - NPX_1385,325277,159,200,-200
09/16/2017 00:05,SCH - NPX_CSC,325154,330,330,-330
09/16/2017 00:05,SCH - OH - NY,23317,768.77,1450,-1600
09/16/2017 00:05,SCH - PJ - NY,23316,394.98,1950,-1350
09/16/2017 00:05,SCH - PJM_HTP,325905,0,0,0
09/16/2017 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2017 00:05,SCH - PJM_VFT,325658,315,315,-315
