Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
03/17/2018 00:00,CENTRAL EAST - VC,23330,2440.19,2605,-9999
03/17/2018 00:00,DYSINGER EAST,23326,825.71,3150,-9999
03/17/2018 00:00,MOSES SOUTH,23319,2487.03,3150,-1600
03/17/2018 00:00,SCH - HQ - NY,23324,1454,1500,-1000
03/17/2018 00:00,SCH - HQ_CEDARS,325274,140,140,-100
03/17/2018 00:00,SCH - HQ_IMPORT_EXPORT,325376,1265,1310,-9999
03/17/2018 00:00,SCH - NE - NY,23318,-500.15,700,-700
03/17/2018 00:00,SCH - NPX_1385,325277,-100,100,-100
03/17/2018 00:00,SCH - NPX_CSC,325154,0,330,-330
03/17/2018 00:00,SCH - OH - NY,23317,796.58,1600,-1900
03/17/2018 00:00,SCH - PJ - NY,23316,-464.53,2000,-1300
03/17/2018 00:00,SCH - PJM_HTP,325905,225,660,-660
03/17/2018 00:00,SCH - PJM_NEPTUNE,325305,601,660,-660
03/17/2018 00:00,SCH - PJM_VFT,325658,315,315,-315
03/17/2018 00:00,SPR/DUN-SOUTH,23320,2342.85,4600,-9999
03/17/2018 00:00,TOTAL EAST,23314,3789.6,6800,-9999
03/17/2018 00:00,UPNY CONED,23315,1956.35,5700,-9999
03/17/2018 00:00,WEST CENTRAL,23312,409.69,9999,-9999
03/17/2018 00:05,CENTRAL EAST - VC,23330,2503.5,2605,-9999
03/17/2018 00:05,DYSINGER EAST,23326,923.05,3150,-9999
03/17/2018 00:05,MOSES SOUTH,23319,2464.12,3150,-1600
03/17/2018 00:05,SCH - HQ - NY,23324,1499,1500,-1000
03/17/2018 00:05,SCH - HQ_CEDARS,325274,140,140,-100
03/17/2018 00:05,SCH - HQ_IMPORT_EXPORT,325376,1310,1310,-9999
03/17/2018 00:05,SCH - NE - NY,23318,-500.28,700,-700
03/17/2018 00:05,SCH - NPX_1385,325277,-100,100,-100
03/17/2018 00:05,SCH - NPX_CSC,325154,0,330,-330
03/17/2018 00:05,SCH - OH - NY,23317,945.26,1600,-1900
03/17/2018 00:05,SCH - PJ - NY,23316,-258.24,2000,-1300
03/17/2018 00:05,SCH - PJM_HTP,325905,200,660,-660
